month,region,leads,qualified_leads,orders,revenue_yuan,refunds_yuan,marketing_cost_yuan,active_customers,support_tickets,avg_first_response_hours,on_time_delivery_rate
2026-06,华东,420,168,72,320000,8000,62000,186,96,22,0.92
2026-06,华中,310,118,51,210000,6000,47000,142,74,25,0.90
2026-06,华南,280,104,43,180000,5000,42000,155,68,28,0.88
2026-06,西部,210,73,29,120000,4000,33000,98,45,31,0.86
2026-07,华东,455,185,79,350000,9000,66000,198,103,24,0.91
2026-07,华中,330,126,55,220000,7000,50000,149,81,27,0.88
2026-07,华南,295,111,48,200000,7000,45000,161,76,30,0.86
2026-07,西部,225,79,33,140000,5000,36000,105,52,34,0.83
2026-08,华东,490,206,91,410000,11000,71000,214,118,26,0.89
2026-08,华中,348,137,59,260000,9000,54000,153,88,29,0.85
2026-08,华南,306,123,53,230000,12000,48000,184,97,35,0.80
2026-08,西部,238,82,36,155000,18000,39000,109,61,39,0.76
